City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,yambio,4.5721,28.3955,293.27,96,81,1.16,SS,1724102224
174,gadzhiyevo,69.2551,33.3362,286.64,77,100,4.01,RU,1724102224
175,san antonio de pale,-1.4014,5.6325,296.86,86,100,6.42,GQ,1724102224
176,burutu,5.3509,5.5076,297.39,90,100,3.56,NG,1724102225
177,sofifi,0.7349,127.576,299.22,84,64,1.19,ID,1724102225
178,mogocha,53.7333,119.7667,282.93,62,13,0.8,RU,1724102226
179,dakhla,23.6848,-15.958,298.16,78,40,5.66,EH,1724102226
180,ashgabat,37.95,58.3833,297.07,31,40,3.09,TM,1724102226
181,lionel town,17.8101,-77.2406,304.98,59,19,6.03,JM,1724102227
182,ugoofaaru,5.6667,73.0,300.46,81,68,9.34,MV,1724102227
183,touros,-5.1989,-35.4608,297.58,82,6,6.06,BR,1724102227
184,betio village,1.358,172.9211,302.17,72,100,4.26,KI,1724102123
185,afaahiti,-17.75,-149.2833,296.01,66,95,12.5,PF,1724102228
186,poxoreo,-15.8372,-54.3892,307.04,13,0,2.24,BR,1724102228
187,port mathurin,-19.6833,63.4167,295.13,60,85,11.57,MU,1724102229
188,port-vila,-17.7338,168.3219,296.93,94,100,4.12,VU,1724102229
189,puente alto,-33.6167,-70.5833,285.37,68,100,0.0,CL,1724102229
190,villa ocampo,-28.4875,-59.3551,297.26,56,10,4.52,AR,1724102230
191,rio grande,-32.035,-52.0986,288.93,97,75,6.17,BR,1724102230
192,khuzdar,27.7384,66.6434,297.79,79,97,2.27,PK,1724102230
193,andergrove,-21.0833,149.1833,292.31,83,8,3.57,AU,1724102231
194,pedro carbo,-1.8333,-80.2333,307.86,38,72,0.95,EC,1724102232
195,paita,-5.0892,-81.1144,293.89,72,16,6.56,PE,1724102232
196,mhangura,-16.8939,30.1683,287.32,36,0,1.5,ZW,1724102232
197,khanty-mansiysk,61.0042,69.0019,285.21,100,75,0.0,RU,1724102233
198,chongoyape,-6.6406,-79.3892,302.99,42,12,4.13,PE,1724102233
199,inhambane,-23.865,35.3833,292.11,78,0,3.94,MZ,1724102233
200,nakhon thai,17.1006,100.8374,297.0,99,100,1.17,TH,1724102234
201,praia da vitoria,38.7333,-27.0667,300.29,78,20,2.56,PT,1724102234
202,khandyga,62.6667,135.6,285.29,78,100,1.18,RU,1724102235
203,sitka,57.0531,-135.33,289.09,88,100,4.12,US,1724102041
204,saudarkrokur,65.7461,-19.6394,278.38,97,100,4.76,IS,1724102235
205,novaya igirma,57.1334,103.9112,289.09,98,100,1.12,RU,1724102236
206,antonio enes,-16.2325,39.9086,296.01,85,25,4.71,MZ,1724102236
207,stanley,54.868,-1.6985,289.42,87,75,6.17,GB,1724102236
208,codrington,-38.2667,141.9667,284.6,82,100,5.45,AU,1724102237
209,terbanggi besar,-4.8667,105.2333,295.75,94,40,2.65,ID,1724102237
210,montepuez,-13.1256,38.9997,293.33,72,25,2.98,MZ,1724102237
211,oranjemund,-28.55,16.4333,285.98,83,0,2.3,,1724102238
212,carolina beach,34.0352,-77.8936,304.84,71,0,5.64,US,1724102238
213,kodiak,57.79,-152.4072,285.88,62,0,8.75,US,1724102238
214,becancour,46.3334,-72.4324,288.46,94,100,6.17,CA,1724102239
215,papao,-17.75,-149.55,299.97,68,54,13.69,PF,1724102239
216,daru,-9.0763,143.2092,298.71,90,96,6.83,PG,1724102239
217,santa maria degli angeli,43.058,12.5777,295.14,90,20,3.09,IT,1724102240
218,upington,-28.4478,21.2561,289.36,11,0,2.06,ZA,1724102240
219,pailon,-17.65,-62.75,311.03,20,3,4.15,BO,1724102240
220,agat village,13.3886,144.6585,302.24,86,0,3.6,GU,1724102241
221,pimenta bueno,-11.6725,-61.1936,310.67,16,0,1.7,BR,1724102241
222,mandla,22.6,80.3833,297.04,92,100,0.76,IN,1724102242
223,rodolfo sanchez taboada,31.7167,-116.5667,299.87,63,25,1.34,MX,1724102242
224,uray,60.1247,64.7758,285.5,92,100,1.96,RU,1724102242
225,portland,45.5234,-122.6762,299.16,47,75,3.09,US,1724102206
226,kittila,67.6647,24.8936,282.23,76,0,2.57,FI,1724102243
227,kavieng,-2.5744,150.7967,300.65,77,91,4.02,PG,1724102243
228,sinop,41.7711,34.8709,293.78,51,0,2.61,TR,1724102243
229,goz beida,13.95,20.55,298.74,77,100,5.32,TD,1724102244
230,cartagena,10.3997,-75.5144,305.94,75,20,5.66,CO,1724102244
231,magadan,59.5667,150.8,285.36,68,7,1.6,RU,1724102244
232,keflavik,64.0049,-22.5624,281.39,76,0,7.2,IS,1724102245
233,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,87,75,3.0,RU,1724102245
234,breves,-1.6822,-50.4803,303.98,44,28,1.09,BR,1724102245
235,walvis bay,-22.9575,14.5053,289.47,59,0,3.02,,1724102246
236,talnakh,69.4865,88.3972,284.61,85,73,1.0,RU,1724102246
237,kharkhorin,47.1975,102.8238,286.31,78,0,2.84,MN,1724102246
238,turochak,52.2576,87.1224,284.15,90,23,1.54,RU,1724102247
239,tarrafal de sao nicolau,16.5667,-24.3667,298.72,83,50,3.12,CV,1724102247
240,revda,56.801,59.9303,283.63,96,53,1.83,RU,1724102247
241,avarua,-21.2078,-159.775,298.18,69,75,10.8,CK,1724102248
242,colares,38.7992,-9.4469,294.7,71,0,9.82,PT,1724102248
243,freetown,8.484,-13.2299,298.99,89,75,4.12,SL,1724102248
244,baiyin,36.5583,104.2081,293.56,29,1,1.99,CN,1724102249
245,mejit,10.2753,170.8646,301.08,81,100,6.84,MH,1724102249
246,san jose de jachal,-30.2406,-68.7469,280.29,73,100,2.71,AR,1724102249
247,altai,46.3722,96.2583,287.5,66,72,2.32,MN,1724102250
248,chopda,21.25,75.3,299.73,84,100,1.72,IN,1724102250
249,alhama de murcia,37.851,-1.4251,300.62,61,2,2.5,ES,1724102250
250,brisas de zicatela,15.8369,-97.0419,303.44,66,75,3.09,MX,1724102251
251,marka,1.7159,44.7717,297.45,85,80,9.06,SO,1724102251
252,quellon,-43.1167,-73.6167,280.91,66,0,1.25,CL,1724102251
253,xingcheng,40.6167,120.7167,297.18,93,100,4.5,CN,1724102252
254,casper,42.8666,-106.3131,306.88,23,40,8.23,US,1724102252
255,tazovsky,67.4667,78.7,279.67,92,41,2.96,RU,1724102252
256,colonia,50.9333,6.95,292.57,76,0,1.54,DE,1724102170
257,tarazona de la mancha,39.2123,-1.9491,298.2,43,1,4.22,ES,1724102253
258,jinghong,21.991,100.7341,295.0,99,100,0.44,CN,1724102253
259,mount gambier,-37.8333,140.7667,286.25,70,83,6.34,AU,1724102253
260,kapuskasing,49.4169,-82.4331,288.15,58,75,4.63,CA,1724102254
261,calchaqui,-29.8877,-60.287,290.88,73,100,5.37,AR,1724102254
262,semirom,31.4167,51.5667,292.6,39,4,0.67,IR,1724102254
263,bereket,39.2446,55.5154,300.13,20,11,5.2,TM,1724102255
264,cadale,2.7603,46.3222,297.97,84,100,9.95,SO,1724102255
265,marianna,30.7744,-85.2269,307.17,52,0,4.63,US,1724102256
266,lupane,-18.9315,27.807,291.7,25,0,5.3,ZW,1724102256
267,uliastay,47.7417,96.8444,287.26,70,93,1.36,MN,1724102257
268,vilyuchinsk,52.9306,158.4028,284.3,81,100,2.39,RU,1724102257
269,port saint john's,-31.6229,29.5448,291.22,75,0,3.5,ZA,1724102257
270,vadso,70.0744,29.7487,286.24,82,0,2.57,NO,1724102258
271,nogliki,51.8333,143.1667,287.45,85,100,6.15,RU,1724102258
272,gummi,12.1436,5.1081,294.6,91,100,1.66,NG,1724102258
273,tshabong,-26.05,22.45,292.14,14,0,5.1,BW,1724102258
274,kailua-kona,19.6406,-155.9956,302.13,84,75,4.12,US,1724102259
275,mont-joli,48.5839,-68.1921,287.87,94,100,2.57,CA,1724102259
276,uturoa,-16.7333,-151.4333,297.91,73,61,13.13,PF,1724102259
277,najera,42.4244,-2.734,291.11,51,0,1.75,ES,1724102260
278,haiku-pauwela,20.9219,-156.3051,302.18,75,40,9.77,US,1724102260
279,omutinskiy,56.4745,67.6709,285.16,92,56,2.85,RU,1724102260
280,papatowai,-46.5619,169.4708,279.43,81,91,7.5,NZ,1724102261
281,nemuro,43.3236,145.575,288.52,83,100,4.14,JP,1724102261
282,colachel,8.1667,77.25,298.62,95,20,1.34,IN,1724102261
283,ubinskoye,55.3068,79.6802,285.29,94,15,3.3,RU,1724102262
284,kogalym,62.2654,74.4791,288.21,79,96,2.41,RU,1724102262
285,polyarnyy,69.1989,33.4478,286.53,76,100,4.25,RU,1724102262
286,antsiranana,-12.2787,49.2917,295.21,66,85,8.43,MG,1724102263
287,aioun,16.6614,-9.6149,303.41,58,97,5.73,MR,1724102263
288,rongelap,11.1635,166.8941,301.27,80,100,7.96,MH,1724102263
289,melfort,52.8667,-104.6177,293.22,77,100,4.12,CA,1724102264
290,prince george,53.9166,-122.753,294.05,55,75,6.17,CA,1724102169
291,youhao,47.8667,128.8333,285.28,93,93,1.3,CN,1724102264
292,dudinka,69.4058,86.1778,284.01,82,85,0.11,RU,1724102265
293,nova sintra,14.8667,-24.7167,300.13,80,9,3.5,CV,1724102265
294,lensk,60.7253,114.9278,288.94,98,100,1.13,RU,1724102265
295,itapecerica,-20.4725,-45.1256,296.13,26,5,1.62,BR,1724102266
296,puerto baquerizo moreno,-0.9,-89.6,296.7,64,40,5.14,EC,1724102266
297,san mariano,7.5,126.0,295.38,93,82,1.13,PH,1724102266
298,saint-francois,46.4154,3.9054,289.08,89,0,0.0,FR,1724102267
299,flying fish cove,-10.4217,105.6791,297.97,88,100,4.12,CX,1724102267
300,ancud,-41.8697,-73.8203,282.77,63,9,3.56,CL,1724102267
301,san sebastian de la gomera,28.0916,-17.1133,298.35,83,0,3.09,ES,1724102267
302,road town,18.4167,-64.6167,303.17,79,40,4.12,VG,1724102268
303,czersk,53.7959,17.9765,287.74,80,95,1.84,PL,1724102268
304,susuman,62.7833,148.1667,284.49,57,15,1.09,RU,1724102268
305,jalingo,8.8833,11.3667,295.21,94,100,2.09,NG,1724102269
306,bangar,16.8936,120.4243,299.66,79,100,1.25,PH,1724102269
307,qaqortoq,60.7167,-46.0333,277.57,84,100,1.39,GL,1724102269
308,merritt,50.1123,-120.7942,298.89,29,43,0.45,CA,1724102270
309,maamba,-17.3667,27.15,290.18,25,0,0.77,ZM,1724102270
310,palikir - national government center,6.9248,158.1611,299.56,89,100,2.57,FM,1724102270
311,barreirinhas,-2.7469,-42.8264,299.38,75,4,4.08,BR,1724102271
312,st. john's,47.5649,-52.7093,294.81,96,100,5.66,CA,1724102271
313,maun,-19.9833,23.4167,295.13,16,0,5.14,BW,1724102271
314,lata,40.1629,-8.3327,287.83,88,0,1.53,PT,1724102272
315,lodja,-3.4833,23.4333,298.84,35,28,0.99,CD,1724102272
316,severobaykal'sk,55.65,109.3167,289.06,72,100,1.35,RU,1724102272
317,ola,59.5833,151.2833,285.44,68,10,1.62,RU,1724102273
318,fisterra,42.9049,-9.2629,292.31,85,8,4.61,ES,1724102273
319,tvoroyri,61.5556,-6.8111,284.17,94,100,8.07,FO,1724102273
320,la tuque,47.4334,-72.7824,289.29,67,100,5.66,CA,1724102274
321,holualoa,19.6228,-155.9522,300.06,86,75,4.12,US,1724102274
322,belo sur tsiribihina,-19.7,44.55,294.67,81,0,2.94,MG,1724102275
323,pariyapuram,10.9561,76.1916,297.09,99,100,0.33,IN,1724102277
324,taro,-8.3862,115.28,290.55,96,90,0.36,ID,1724102278
325,rurrenabaque,-14.4413,-67.5278,306.98,55,20,3.6,BO,1724102278
326,minas de marcona,-15.2119,-75.1103,289.55,55,0,6.93,PE,1724102278
327,jumla,29.2747,82.1838,288.09,95,100,0.82,NP,1724102279
328,kulhudhuffushi,6.6221,73.07,300.7,81,88,10.29,MV,1724102279
329,hermanus,-34.4187,19.2345,285.82,82,3,0.99,ZA,1724102279
330,primero de mayo,-32.2552,-58.4228,287.49,86,100,6.58,AR,1724102280
331,luganville,-15.5333,167.1667,299.15,84,44,4.51,VU,1724102280
332,yankton,42.8711,-97.3973,304.33,57,20,3.6,US,1724102280
333,kuanda,56.3161,116.0806,289.63,59,98,2.59,RU,1724102281
334,filiatra,37.15,21.5833,300.19,78,2,0.16,GR,1724102281
335,malango,-2.9627,119.9001,292.43,100,98,0.87,ID,1724102281
336,fiumicino-isola sacra,41.7675,12.2291,297.31,3,30,2.87,IT,1724102282
337,as sulayyil,20.4607,45.5779,308.96,19,97,3.95,SA,1724102282
338,brookings,44.3114,-96.7984,301.07,60,40,3.6,US,1724102282
339,chavantes,-23.0389,-49.7094,299.85,27,5,1.95,BR,1724102283
340,kita,13.0349,-9.4895,297.16,91,57,0.94,ML,1724102283
341,caldwell,43.6629,-116.6874,307.39,14,0,3.09,US,1724102117
342,chetwayi,10.5333,76.05,299.07,90,100,2.86,IN,1724102284
343,nuku'alofa,-21.1333,-175.2,296.34,100,75,3.09,TO,1724102284
344,conde,-7.2597,-34.9075,296.85,88,0,3.6,BR,1724102284
345,al bawiti,28.3492,28.8659,303.14,26,0,2.04,EG,1724102284
